,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"1,25,000 1 Lacs+","1,05,000 1 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,30,000 2 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Vidhan Mandal Patna 1,91,303 1 Lacs+ SBI ADB Parsa  23,860 23 Thou+ SKGB 20,251 20 Thou+ SBI ADB  1,681 1 Thou+ SBI ADB 1,664 1 Thou+",SBI Vidhan Mandal Patna 662 6 Hund+,Nil,Nil,SBI Vidhan Mandal Patna 49,Nil,"Rs 2,39,470 2 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","Sunrise Saran Construction Pvt. Ltd. 50 %share  1,75,00,000 1 Crore+","Sunrise Saran Construction Pvt. Ltd. 21 %share 74,95,000 74 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,49,95,000 2 Crore+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"SBI Life  4,00,000 4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,00,000 4 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Skoda year 2014 BR01CD0001  8,00,000 8 Lacs+ Scorpio 2016 BR01DD0621  13,00,000 13 Lacs+ chevrolet Year 2018  19,00,000 19 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 40,00,000 40 Lacs+"
8,vii,Jewellery (give details weight value),"Gold 150 gm.  7,50,000 7 Lacs+","Gold 500 gm.  25,00,000 25 Lacs+ Silver 1 kg  60,000 60 Thou+",Nil,Nil,Nil,Nil,"Rs 33,10,000 33 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,"Rifle  1,45,000 1 Lacs+ Revolver  75,000 75 Thou+",Nil,Nil,Nil,Nil,"Rs 2,20,000 2 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"2,30,13,759 2 Crore+","1,03,80,662 1 Crore+",Nil,Nil,49,Nil,"Rs 3,33,94,470 3 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 2,30,13,759 2 Crore+","Rs 1,03,80,662 1 Crore+",Nil,Nil,Rs 49,Nil,"Rs 3,33,94,470 3 Crore+"
