,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"1,15,250 1 Lacs+","45,265 45 Thou+",Nil,Nil,Nil,Nil,"Rs 1,60,515 1 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Calcutta University College Street Branch Kolkata No 2010627xxxxx  1,26,875 1 Lacs+ SBI Jhargram No 1128256xxxxx  13,264 13 Thou+ Vidyasagar Central Cooperative Bank Jhargram Branch No 12300710xxxxx  6,365 6 Thou+","SBI Calcutta University College Street Branch No 2010627xxxxx  52,675 52 Thou+ SBI Contai Branch No 1126130xxxxx  1,48,780 1 Lacs+ Axis Bank Ltd. Contai Branch Joint with Dr. Arabindo Nayak Father No 91001001040xxxxx  2,85,802 2 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,33,761 6 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","GPF  7,36,069 7 Lacs+","GPF 1,40,347 1 Lacs+ PPF  26,74,633 26 Lacs+ UTI MF 50,000 50 Thou+ UTI FEF 2,05,000 2 Lacs+ ICICI Prudential Fund 1,50,000 1 Lacs+ Pearless MF 6,00,000 6 Lacs+ SBI Blue Chip Fund 2,50,000 2 Lacs+ SBI Emergency Business Fund 1,60,000 1 Lacs+",Nil,Nil,Nil,Nil,"Rs 49,66,049 49 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc","NSC 31.03.2015  1,00,000 1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,00,000 1 Lacs+"
5,iv,(b) LIC or other insurance Policies,Nil,"LIC 1,05,475 1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,05,475 1 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Car Alto Year 2012  3,15,000 3 Lacs+ Hero Honda Year 2011  80,000 80 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 3,95,000 3 Lacs+"
8,vii,Jewellery (give details weight value),"200 Gms  4,25,000 4 Lacs+","406.61 Gms  13,88,400 13 Lacs+",Nil,Nil,Nil,Nil,"Rs 18,13,400 18 Lacs+"
9,viii,"Other assets, such as values of claims / interests","Furniture Self + Marrige Gift 2,50,000 2 Lacs+ Sofa Set 25,000 25 Thou+ Wardrobe 50,000 50 Thou+","Binocular Microscope 50,000 50 Thou+ Laptop  37,000 37 Thou+ Motorised Trademill  36,000 36 Thou+ Air Condtition  60,000 60 Thou+ Sofa 31,000 31 Thou+ Cot 78,600 78 Thou+ TV  40,000 40 Thou+ Freezer  20,000 20 Thou+ Almirah  20,000 20 Thou+",Nil,Nil,Nil,Nil,"Rs 6,97,600 6 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"22,42,823 22 Lacs+","66,28,977 66 Lacs+",Nil,Nil,Nil,Nil,"Rs 88,71,800 88 Lacs+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 22,42,823 22 Lacs+","Rs 66,28,977 66 Lacs+",Nil,Nil,Nil,Nil,"Rs 88,71,800 88 Lacs+"
