,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"48,704 48 Thou+","28,876 28 Thou+",Nil,Nil,Nil,Nil,"Rs 77,580 77 Thou+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","ICICI Bank Ltd. Panaji Goa No 00150100xxxxx  36,736 36 Thou+ Axis Bank Panaji Goa No 07801010000xxxxx  17,008 17 Thou+ No 0059193000xxxxx, HDFC Bank Panaji Goa 17,299 17 Thou+ SBI Miramar Panaji Goa No 1001102xxxxx  2,15,026 2 Lacs+ No 1072241300xxxxx Oriental Bank of Commerce 1,725 1 Thou+ Axis Bank 8,04,711 8 Lacs+ SBI 41,50,000 41 Lacs+","HDFC Bank Panaji Goa No 005910006xxxxx  32,372 32 Thou+ ICICI Bank Panaji Goa No 00150100xxxxx  9,012 9 Thou+ SBI No 3278788xxxxx  965 9 Hund+ SBI Miramar Panaji Goa No 3021114xxxxx  1,15,616 1 Lacs+ Oriental Bank of Commerce Panaji Goa No 1072241300xxxxx  24,010 24 Thou+ Axis Bank Ltd. No 91801006241xxxxx  51,073 51 Thou+",Nil,Nil,Nil,Nil,"Rs 54,75,553 54 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","IDBI Bonds 30,000 30 Thou+ ICICI Prudential MF  12,50,000 12 Lacs+ Biotech Shares  51,000 51 Thou+ Devaa Fortune Villas Pvt. Ltd.  22,88,771 22 Lacs+ Bienvenue Beach Villa Hospitality Pvt. ltd.  37,41,414 37 Lacs+ Kotak Low Duration 10,00,000 10 Lacs+ ICICI Prudential Ultra  7,50,000 7 Lacs+ Aditya Birla Sun Life Arbitrage  7,50,000 7 Lacs+ IDFC Arbitrage  11,24,120 11 Lacs+ Kotak Equity Arbitrage 15,00,000 15 Lacs+","Equity Shares 40400, Karanpur Agro Pvt. Ltd. 1st Floor Vaibhav Apts Vidya Nagar Colony Miramar Panaji Goa  48,52,000 48 Lacs+ Equity Shares 500, Karanpur Agro Pvt. Ltd. 1st Floor Vaibhav Apts Vidya Nagar Colony Miramar Panaji Goa  50,000 50 Thou+ Equity Shares 5700 Meridian Estates Pvt. ltd. 306 Dimple Arcade Premises Co-Operative Society Ltd. Thakur Complex Operative Sai Dham Temple Kandivali East Mumbai 5,70,000 5 Lacs+ Equity Shares 1100 Sterling Resorts  1,10,000 1 Lacs+ Equity Share 500 Goa Peoples Co-Operative Bank Ltd.  5,010 5 Thou+",Nil,Nil,Nil,Nil,"Rs 1,80,72,315 1 Crore+"
4,iv,"(a)  NSS, Postal Savings etc","PPF Account 21,04,565 21 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 21,04,565 21 Lacs+"
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,"Advance to Biotech Agro  2,44,000 2 Lacs+","Mrs. Deviya Rane  17,97,515 17 Lacs+ Biotech Agro Pvt. Ltd. 1,25,000 1 Lacs+ Karapur Agro Pvt. Ltd. (-5020000)  0 Macrotech Construction Pvt. Ltd. 11,00,000 11 Lacs+ Mr. Pratapsingh R. Rane  11,00,000 11 Lacs+ Mr. Satyendra Nagwekar 1,00,000 1 Lacs+ Sumer Builders 11,00,000 11 Lacs+ Action Agro India Pvt. ltd. 25,75,000 25 Lacs+",Nil,Nil,Nil,Nil,"Rs 81,41,515 81 Lacs+"
7,vi,"Motor Vehicles (details of make, etc.)","Innova Cysta GA04C7000 Innova GA07L9000 Vehicle WDV 10,70,890 10 Lacs+","Innova Cysta GA07L1100, Year 2013  24,39,967 24 Lacs+ Mahindra XUV GA07K1100, Year 2013  15,81,230 15 Lacs+",Nil,Nil,Nil,Nil,"Rs 50,92,087 50 Lacs+"
8,vii,Jewellery (give details weight value),"Gold Jewellery 1,79,83,528 1 Crore+ Silver 1,00,000 1 Lacs+","23,37,286 23 Lacs+ Silver 2,00,000 2 Lacs+",Nil,"Gold 66.800gm 2,27,000 2 Lacs+","Gold Wt 64.494gms  1,90,000 1 Lacs+",Nil,"Rs 2,10,37,814 2 Crore+"
9,viii,"Other assets, such as values of claims / interests","Art & Paining 1,99,223 1 Lacs+ Salary Receivable 7,50,000 7 Lacs+ Mobile 1,26,500 1 Lacs+","Air Condition 76,000 76 Thou+ UPS  38,700 38 Thou+ Furniture 4,26,625 4 Lacs+ Mobile 2,52,820 2 Lacs+ Wall Painting 10,00,000 10 Lacs+ Camera  25,00,000 25 Lacs+ Salary Receivable 3,50,215 3 Lacs+ Income Tax TDS  18,82,595 18 Lacs+",Nil,Nil,Nil,Nil,"Rs 76,02,678 76 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"4,03,55,221 4 Crore+","2,18,11,887 2 Crore+",Nil,"2,27,000 2 Lacs+","1,90,000 1 Lacs+",Nil,"Rs 6,25,84,108 6 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 4,03,55,220 4 Crore+","Rs 2,68,31,887 2 Crore+",Nil,"Rs 2,27,000 2 Lacs+","Rs 1,90,000 1 Lacs+",Nil,"Rs 6,76,04,107 6 Crore+"
