,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"60,000 60 Thou+","40,000 40 Thou+",Nil,"5,000 5 Thou+","5,000 5 Thou+",Nil,Nil,"Rs 1,10,000 1 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Bank Br. Lucknow 96,46,074 96 Lacs+ SBI Bank Br. Lucknow MOD  49,08,087 49 Lacs+ SBI Bank Br. Lucknow 1,83,19,981 1 Crore+ SBI Bank Br. Kunda  37,35,484 37 Lacs+ Baroda UP Gramin Bank Br. Kunda 1,77,213 1 Lacs+ Baroda UP Gramin Bank Br. Pratapgarh  10,996 10 Thou+ SBI Bank Br. Lucknow 2,82,36,810 2 Crore+","SBI Bank Br. Lucknow  21,005 21 Thou+ Post Office Br. Kunda  599 5 Hund+ HDFC Bank Br. Lucknow 34,77,141 34 Lacs+","BOB Bank Br. Kunda  42,45,155 42 Lacs+","PNB Bank Br. Lucknow 8,02,886 8 Lacs+ SBI Bank Br. Kunda  27,880 27 Thou+ SBI Bank 5,34,008 5 Lacs+ PNB Bank Br. Lucknow  12,58,781 12 Lacs+ Shriram Transport Finanace 3,00,000 3 Lacs+","PNB Bank Br. Lucknow  14,66,476 14 Lacs+ SBI Bank Br. Kunda  27,886 27 Thou+ SBI Bank Br. Kunda  5,35,061 5 Lacs+ PNB Bank Br. Lucknow  18,24,094 18 Lacs+","PNB Bank Br. Lucknow  3,24,816 3 Lacs+ SBI Bank Br. Kunda  25,564 25 Thou+ SBI Bank Br. Kunda  5,46,029 5 Lacs+ PNB Bank Br. Lucknow  4,79,534 4 Lacs+","PNB Hajratganj Lucknow  2,58,856 2 Lacs+ SBI, Bank Kunda  16,493 16 Thou+ SBI, Bank Kunda ppf  5,34,824 5 Lacs+ PNB Hazratganj lucknow  4,86,425 4 Lacs+","Rs 8,22,28,158 8 Crore+"
3,iii,"Bonds, Debentures and Shares in companies","Share  35,59,850 35 Lacs+","BOB Bank Share  23,68,000 23 Lacs+ Share  12,60,000 12 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 71,87,850 71 Lacs+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,"NSC  6,22,000 6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,22,000 6 Lacs+"
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Toyota Reg.No-UP-72X-0001 Year-2012  40,55,752 40 Lacs+",Nil,Nil,Nil,Nil,Nil,Nil,"Rs 40,55,752 40 Lacs+"
8,vii,Jewellery (give details weight value),"Gold 3500 Gram  1,72,20,000 1 Crore+ Silver 26000 Gram  16,04,200 16 Lacs+","Gold 4500 Gram  2,21,40,000 2 Crore+ Silver 10500 Gram  6,47,850 6 Lacs+ Gold 5 Gram  5,16,600 5 Lacs+",Nil,"Gold 1400 Gram  68,88,000 68 Lacs+ Silver 1000 Gram  61,700 61 Thou+","Gold 800 Gram  39,36,000 39 Lacs+ Silver 1000 Gram  61,700 61 Thou+","Gold 1000 Gram  49,20,000 49 Lacs+ Silver 1800 Gram  1,11,060 1 Lacs+","Gold 1000 gm.  49,20,000 49 Lacs+ Silver 1800 gm.  1,11,060 1 Lacs+","Rs 6,31,38,170 6 Crore+"
9,viii,"Other assets, such as values of claims / interests","Riffle  83,000 83 Thou+ Gun  42,000 42 Thou+ Pistol  95,000 95 Thou+","Pistal  90,000 90 Thou+ Riffle  82,000 82 Thou+ Gun  38,000 38 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 4,30,000 4 Lacs+"
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"9,17,54,448 9 Crore+","3,13,85,302 3 Crore+","42,45,155 42 Lacs+","98,78,255 98 Lacs+","78,56,217 78 Lacs+","64,07,003 64 Lacs+","63,27,658 63 Lacs+","Rs 15,78,54,038 15 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 9,17,54,447 9 Crore+","Rs 3,13,03,195 3 Crore+","Rs 42,45,155 42 Lacs+","Rs 98,78,255 98 Lacs+","Rs 78,56,217 78 Lacs+","Rs 64,07,003 64 Lacs+","Rs 63,27,658 63 Lacs+","Rs 15,77,71,930 15 Crore+"
