,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Loans from Banks / FIs,Nil,"Canara bank arni  26,55,100 26 Lacs+",Nil,"Canara bank arni  95,84,498 95 Lacs+","Canara bank  45,93,914 45 Lacs+",Nil,Nil,"Rs 1,68,33,512 1 Crore+"
2,i,Loans due to Individual / Entity,Nil,"Sundry creditors  1,28,68,750 1 Crore+",Nil,"Sundry creditors  14,00,000 14 Lacs+","Sundry creditors  10,10,000 10 Lacs+","Sundry cerditors  44,00,000 44 Lacs+",Nil,"Rs 1,96,78,750 1 Crore+"
3,i,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,i,Grand Total of Liabilities (as per affidavit),0,"1,55,23,850 1 Crore+",Nil,"1,09,84,498 1 Crore+","56,03,914 56 Lacs+","44,00,000 44 Lacs+",Nil,"Rs 3,65,12,262 3 Crore+"
5,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,ii,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,ii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
8,ii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
9,ii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,ii,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
11,ii,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
12,ii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
13,ii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
14,ii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
15,ii,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
16,ii,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
17,iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
18,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
19,iv,Totals (Calculated as Sum of Values),Nil,"Rs 1,55,23,850 1 Crore+",Nil,"Rs 1,09,84,498 1 Crore+","Rs 56,03,914 56 Lacs+","Rs 44,00,000 44 Lacs+",Nil,"Rs 3,65,12,262 3 Crore+"
