,0,1,2,3,4,5,6,7,8,9
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,dependent4,
1,i,Cash,"29,493 29 Thou+","22,482 22 Thou+","27,430 27 Thou+","48,026 48 Thou+","2,623 2 Thou+","38,883 38 Thou+","44,435 44 Thou+","Rs 2,13,372 2 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI sevoor  0 SBI sevoor  6,403 6 Thou+ IOB chennai  5,10,349 5 Lacs+","SBI sevoor 8,74,547 8 Lacs+ Canara bank arni  7,814 7 Thou+ Canara bank arni  2,990 2 Thou+ SBI arni  52,553 52 Thou+ Canara bank arni  3,17,982 3 Lacs+",Canara bank arani  0,"HDFC,iyyappanadi angel  8,539 8 Thou+ ICIC iyyappandi angek  70,917 70 Thou+ Canara bank arani  40,881 40 Thou+ Canara bank arani  2,591 2 Thou+ SBI sevoor  231 2 Hund+","ICIC bengaluru  3,19,951 3 Lacs+ IOB chennai  3,47,995 3 Lacs+ Canara bank arani  97,747 97 Thou+ SBI sevoor  353 3 Hund+","Canara bank,arani  1,21,290 1 Lacs+","Canara bank,arani  4,964 4 Thou+","Rs 27,88,097 27 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,"Receivable sundry debtors  35,08,700 35 Lacs+","Stocks receivabale sundry debtors  1,97,49,750 1 Crore+","Receivable sundry debtors  21,54,780 21 Lacs+","Stocks receivabale sundry debtors  1,33,32,700 1 Crore+","Stocks  1,90,400 1 Lacs+","Stocks receivabale sundry debtors  2,25,23,890 2 Crore+","Stocks receivabale sundry debtors  39,14,040 39 Lacs+","Rs 6,53,74,260 6 Crore+"
7,vi,"Motor Vehicles (details of make, etc.)","TN2SAYR-2013X3777  17,050 17 Thou+","TN25AD4777YR-2010  2,13,554 2 Lacs+","TN25V2111  16,932 16 Thou+","TN97A4777YR-2019  2,41,250 2 Lacs+ TN12K1887YR-2018  63,210 63 Thou+","TN97A777YR-2019  14,49,148 14 Lacs+ TN25AU4737YR-2015  36,980 36 Thou+",Nil,Nil,"Rs 20,38,124 20 Lacs+"
8,vii,Jewellery (give details weight value),Nil,Nil,Nil,"720gm  19,12,500 19 Lacs+","1120gm  20,60,800 20 Lacs+","1208gm  35,03,200 35 Lacs+ 3600gm  12,96,000 12 Lacs+","2168gm  14,09,200 14 Lacs+","Rs 1,01,81,700 1 Crore+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"40,67,288 40 Lacs+","2,12,41,672 2 Crore+","21,99,142 21 Lacs+","1,57,20,845 1 Crore+","43,17,997 43 Lacs+","2,74,83,263 2 Crore+","53,72,639 53 Lacs+","Rs 8,04,02,846 8 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 40,71,995 40 Lacs+","Rs 2,12,41,672 2 Crore+","Rs 21,99,142 21 Lacs+","Rs 1,57,20,845 1 Crore+","Rs 45,05,997 45 Lacs+","Rs 2,74,83,263 2 Crore+","Rs 53,72,639 53 Lacs+","Rs 8,05,95,553 8 Crore+"
