,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"2,00,000 2 Lacs+","1,50,000 1 Lacs+",Nil,"10,000 10 Thou+","10,000 10 Thou+",Nil,"Rs 3,70,000 3 Lacs+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Bank Branch Padmavatinager Colony 10,000 10 Thou+ SBI Bank Branch Gachibowli 930 9 Hund+ SBI Bank Branch Secretarial 71,427 71 Thou+","SBI Bank Branch Gachibowli 2,908 2 Thou+",Nil,"S.B Account No 400104xxxxx  5,909 5 Thou+ ICICI Bank Branch Stone 1,128 1 Thou+ IFSC Bank Branch No 55555012228xxxxx  8,360 8 Thou+",Nil,Nil,"Rs 1,00,662 1 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies","5Mantra Leaning Academy Partnership Shares 20,00,000 20 Lacs+ 5Mantra Leaning Academy Partnership Shares 4,50,000 4 Lacs+ Moving Magic Partnership Shares 7,00,000 7 Lacs+ Global Guru Edu Tech Pvt Ltd 9,00,000 9 Lacs+ 5Mantra Leaning Academy Partnership Shares 4,50,000 4 Lacs+ 5Mantra Career Point Partnership Shares 9,00,000 9 Lacs+ Technologies Pvt Ltd 30,00,000 30 Lacs+ MI Spaces LLP Shares 50,000 50 Thou+","5Mantra Leaning Academy Partnership Shares 44,00,000 44 Lacs+ 5Mantra Leaning Academy Partnership Shares 4,50,000 4 Lacs+ 5Mantra Leaning Academy Partnership Shares 4,50,000 4 Lacs+ Prasanna Edutech Pvt Ltd 7,00,000 7 Lacs+ Shares In Ensurity Technologies `  30,00,000 30 Lacs+",Nil,"Demat No 120816004473xxxxx  605 6 Hund+ Asian Paints BSE 6,027 6 Thou+ Deepak Nirite BSE 2,108 2 Thou+ HDFC Bank NSEK  2,972 2 Thou+ Infosys BSE 1,400 1 Thou+ Lalpahtlab NSE  2,675 2 Thou+ Marico NSE  526 5 Hund+ Relexo NSE  1,816 1 Thou+ Zomoto NSE Qty 1 124 1 Hund+ Motilal Nasadq 100 NSE 980 9 Hund+ Nippon India 480 4 Hund+ Nippon INdia 428 4 Hund+ Mutual Fund Small Cap  32,055 32 Thou+",Nil,Nil,"Rs 1,75,02,196 1 Crore+"
4,iv,"(a)  NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
5,iv,(b) LIC or other insurance Policies,"LIC Of Indian Policy No 642154651  5,00,000 5 Lacs+ LIC Of Indian Policy No 648532962  5,77,735 5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 10,77,735 10 Lacs+"
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)","Scorpio Car TS07CSTR0719 2023 Model 20,32,200 20 Lacs+","Baleno Car TS11EM1629  79,800 79 Thou+",Nil,Nil,Nil,Nil,"Rs 21,12,000 21 Lacs+"
8,vii,Jewellery (give details weight value),Nil,"400G Gold 22,60,000 22 Lacs+",Nil,Nil,Nil,Nil,"Rs 22,60,000 22 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"1,18,42,292 1 Crore+","1,22,10,908 1 Crore+",Nil,"77,594 77 Thou+","10,000 10 Thou+",Nil,"Rs 2,41,40,794 2 Crore+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 1,18,42,292 1 Crore+","Rs 1,14,92,708 1 Crore+",Nil,"Rs 77,593 77 Thou+","Rs 10,000 10 Thou+",Nil,"Rs 2,34,22,593 2 Crore+"
