,0,1,2,3,4,5,6,7,8
0,Sr No,Description,self,spouse,huf,dependent1,dependent2,dependent3,
1,i,Cash,"25,000 25 Thou+","50,000 50 Thou+",Nil,Nil,Nil,Nil,"Rs 75,000 75 Thou+"
2,ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Federal Bank,Aroor  2,50,000 2 Lacs+ SBI Aroor 4,000 4 Thou+ Kerala State coperative Bank pattanakkad branch  12,000 12 Thou+","SBI Maradu SB 1,50,000 1 Lacs+ SBI Maradu FD 4,00,000 4 Lacs+ Federal bank aroor SB  7,000 7 Thou+ SBI aroor  10,00,000 10 Lacs+",Nil,Nil,Nil,Nil,"Rs 18,23,000 18 Lacs+"
3,iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
4,iv,"(a)  NSS, Postal Savings etc","Post office Savings 36,000 36 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 36,000 36 Thou+"
5,iv,(b) LIC or other insurance Policies,Nil,Nil,Nil,Nil,Nil,Nil,Nil
6,v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
7,vi,"Motor Vehicles (details of make, etc.)",Nil,"Honda Car 2019 KL 32-N 7179  10,00,000 10 Lacs+ Scooter 2013 Model KL 32-E 6920  75,000 75 Thou+",Nil,Nil,Nil,Nil,"Rs 10,75,000 10 Lacs+"
8,vii,Jewellery (give details weight value),"122 gms 8,00,000 8 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 8,00,000 8 Lacs+"
9,viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
10,Gross Total Value (as per Affidavit),Gross Total Value (as per Affidavit),"11,27,000 11 Lacs+","26,82,000 26 Lacs+",Nil,Nil,Nil,Nil,"Rs 38,09,000 38 Lacs+"
11,Totals (Calculated as Sum of Values),Totals (Calculated as Sum of Values),"Rs 11,27,000 11 Lacs+","Rs 26,82,000 26 Lacs+",Nil,Nil,Nil,Nil,"Rs 38,09,000 38 Lacs+"
